high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%
4,4,4,4,7,4,4,4,1.1,0.01,FALSE,3.89,496.48,8.14,61,60.66,18.06,-7.16
4,4,4,4,7,4,4,4,1.3,0.01,FALSE,3.89,461.57,7.57,61,60.66,16.79,-6.65
4,4,4,4,7,4,4,7,1.1,0.01,FALSE,4.26,667.85,8.45,79,64.56,17.11,-7.31
4,4,4,4,7,4,4,7,1.3,0.01,FALSE,4.26,620.6,7.86,79,64.56,15.9,-6.79
4,4,4,4,7,4,4,14,1.1,0.01,FALSE,3.55,602.55,7.63,79,62.03,17.12,-7.89
4,4,4,4,7,4,4,14,1.3,0.01,FALSE,3.54,562.69,7.12,79,62.03,16,-7.38
4,4,4,4,7,4,7,4,1.1,0.01,FALSE,4.2,529.59,7.68,69,65.22,15.45,-6.9
4,4,4,4,7,4,7,4,1.3,0.01,FALSE,4.2,492.13,7.13,69,65.22,14.35,-6.41
4,4,4,4,7,4,7,7,1.1,0.01,FALSE,4.9,523.29,9.51,55,65.45,18.26,-7.06
4,4,4,4,7,4,7,7,1.3,0.01,FALSE,4.9,486.07,8.84,55,65.45,16.96,-6.56
4,4,4,4,7,4,7,14,1.1,0.01,FALSE,4.63,531.39,9.49,56,66.07,18.32,-7.7
4,4,4,4,7,4,7,14,1.3,0.01,FALSE,4.63,496.13,8.86,56,66.07,17.11,-7.2
4,4,4,4,7,4,14,4,1.1,0.01,FALSE,4.87,624.71,9.61,65,67.69,17.87,-7.7
4,4,4,4,7,4,14,4,1.3,0.01,FALSE,4.86,583.41,8.98,65,67.69,16.7,-7.21
4,4,4,4,7,4,14,7,1.1,0.01,FALSE,3.01,476.87,7.23,66,59.09,18.32,-8.8
4,4,4,4,7,4,14,7,1.3,0.01,FALSE,3.01,445.49,6.75,66,59.09,17.11,-8.22
4,4,4,4,7,4,14,14,1.1,0.01,FALSE,5.94,588.98,12.27,48,68.75,21.46,-7.95
4,4,4,4,7,4,14,14,1.3,0.01,FALSE,5.94,553.06,11.52,48,68.75,20.15,-7.47
