high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%
4,4,4,4,10,10,4,4,1.2,0.01,False,3.68,294.78,6.41,46,54.35,16.19,-5.24
4,4,4,4,10,10,4,4,1.3,0.01,False,3.68,294.78,6.41,46,54.35,16.19,-5.24
4,4,4,4,10,10,4,10,1,0.01,False,4.81,345.88,6.65,52,63.46,13.24,-4.78
4,4,4,4,10,10,4,10,1.1,0.01,False,4.81,345.88,6.65,52,63.46,13.24,-4.78
4,4,4,4,10,10,4,10,1.2,0.01,False,4.81,345.88,6.65,52,63.46,13.24,-4.78
4,4,4,4,10,10,4,10,1.3,0.01,False,4.81,345.88,6.65,52,63.46,13.24,-4.78
4,4,4,4,10,10,10,4,1,0.01,False,4.39,353.63,6.2,57,61.4,13.08,-4.74
4,4,4,4,10,10,10,4,1.1,0.01,False,4.39,353.63,6.2,57,61.4,13.08,-4.74
4,4,4,4,10,10,10,4,1.2,0.01,False,4.39,353.63,6.2,57,61.4,13.08,-4.74
4,4,4,4,10,10,10,4,1.3,0.01,False,4.39,353.63,6.2,57,61.4,13.08,-4.74
4,4,4,4,10,10,10,10,1,0.01,False,6.1,305.74,9.26,33,63.64,17.41,-5.0
4,4,4,4,10,10,10,10,1.1,0.01,False,6.1,305.74,9.26,33,63.64,17.41,-5.0
4,4,4,4,10,10,10,10,1.2,0.01,False,6.1,305.74,9.26,33,63.64,17.41,-5.0
4,4,4,4,10,10,10,10,1.3,0.01,False,6.1,305.74,9.26,33,63.64,17.41,-5.0
4,4,4,10,4,4,4,4,1,0.01,False,3.24,309.34,5.24,59,55.93,13.56,-5.31
4,4,4,10,4,4,4,4,1.1,0.01,False,3.24,309.34,5.24,59,55.93,13.56,-5.31
4,4,4,10,4,4,4,4,1.2,0.01,False,3.24,309.34,5.24,59,55.93,13.56,-5.31
4,4,4,10,4,4,4,4,1.3,0.01,False,3.24,309.34,5.24,59,55.93,13.56,-5.31
4,4,4,10,4,4,4,10,1,0.01,False,4.25,380.7,5.77,66,62.12,12.14,-4.68
4,4,4,10,4,4,4,10,1.1,0.01,False,4.25,380.7,5.77,66,62.12,12.14,-4.68
4,4,4,10,4,4,4,10,1.2,0.01,False,4.25,380.7,5.77,66,62.12,12.14,-4.68
4,4,4,10,4,4,4,10,1.3,0.01,False,4.25,380.7,5.77,66,62.12,12.14,-4.68
4,4,4,10,4,4,10,4,1,0.01,False,3.95,400.79,5.89,68,60.29,13.09,-5.03
4,4,4,10,4,4,10,4,1.1,0.01,False,3.95,400.79,5.89,68,60.29,13.09,-5.03
4,4,4,10,4,4,10,4,1.2,0.01,False,3.95,400.79,5.89,68,60.29,13.09,-5.03
4,4,4,10,4,4,10,4,1.3,0.01,False,3.95,400.79,5.89,68,60.29,13.09,-5.03
4,4,4,10,4,4,10,10,1,0.01,False,4.89,358.13,7.16,50,62.0,14.52,-4.84
4,4,4,10,4,4,10,10,1.1,0.01,False,4.89,358.13,7.16,50,62.0,14.52,-4.84
4,4,4,10,4,4,10,10,1.2,0.01,False,4.89,358.13,7.16,50,62.0,14.52,-4.84
4,4,4,10,4,4,10,10,1.3,0.01,False,4.89,358.13,7.16,50,62.0,14.52,-4.84
4,4,4,10,4,10,4,4,1,0.01,False,2.84,252.68,5.16,49,46.94,16.97,-5.29
4,4,4,10,4,10,4,4,1.1,0.01,False,2.84,252.68,5.16,49,46.94,16.97,-5.29
4,4,4,10,4,10,4,4,1.2,0.01,False,2.84,252.68,5.16,49,46.94,16.97,-5.29
4,4,4,10,4,10,4,4,1.3,0.01,False,2.84,252.68,5.16,49,46.94,16.97,-5.29
4,4,4,10,4,10,4,10,1,0.01,False,3.62,322.12,5.28,61,59.02,12.37,-4.93
4,4,4,10,4,10,4,10,1.1,0.01,False,3.62,322.12,5.28,61,59.02,12.37,-4.93
4,4,4,10,4,10,4,10,1.2,0.01,False,3.62,322.12,5.28,61,59.02,12.37,-4.93
4,4,4,10,4,10,4,10,1.3,0.01,False,3.62,322.12,5.28,61,59.02,12.37,-4.93
4,4,4,10,4,10,10,4,1,0.01,False,3.17,298.55,4.98,60,55.0,13.21,-5.09
4,4,4,10,4,10,10,4,1.1,0.01,False,3.17,298.55,4.98,60,55.0,13.21,-5.09
4,4,4,10,4,10,10,4,1.2,0.01,False,3.17,298.55,4.98,60,55.0,13.21,-5.09
4,4,4,10,4,10,10,4,1.3,0.01,False,3.17,298.55,4.98,60,55.0,13.21,-5.09
4,4,4,10,4,10,10,10,1,0.01,False,3.48,240.01,6.32,38,50.0,17.73,-5.1
4,4,4,10,4,10,10,10,1.1,0.01,False,3.48,240.01,6.32,38,50.0,17.73,-5.1
4,4,4,10,4,10,10,10,1.2,0.01,False,3.48,240.01,6.32,38,50.0,17.73,-5.1
4,4,4,10,4,10,10,10,1.3,0.01,False,3.48,240.01,6.32,38,50.0,17.73,-5.1
4,4,4,10,10,4,4,4,1,0.01,False,4.87,431.03,7.18,60,65.0,13.91,-5.3
4,4,4,10,10,4,4,4,1.1,0.01,False,4.87,431.03,7.18,60,65.0,13.91,-5.3
4,4,4,10,10,4,4,4,1.2,0.01,False,4.87,431.03,7.18,60,65.0,13.91,-5.3
4,4,4,10,10,4,4,4,1.3,0.01,False,4.87,431.03,7.18,60,65.0,13.91,-5.3
4,4,4,10,10,4,4,10,1,0.01,False,5.52,485.69,6.94,70,68.57,12.35,-4.88
4,4,4,10,10,4,4,10,1.1,0.01,False,5.52,485.69,6.94,70,68.57,12.35,-4.88
4,4,4,10,10,4,4,10,1.2,0.01,False,5.52,485.69,6.94,70,68.57,12.35,-4.88
4,4,4,10,10,4,4,10,1.3,0.01,False,5.52,485.69,6.94,70,68.57,12.35,-4.88
4,4,4,10,10,4,10,4,1,0.01,False,6.11,528.43,7.66,69,68.12,13.44,-4.7
4,4,4,10,10,4,10,4,1.1,0.01,False,6.11,528.43,7.66,69,68.12,13.44,-4.7
4,4,4,10,10,4,10,4,1.2,0.01,False,6.11,528.43,7.66,69,68.12,13.44,-4.7
4,4,4,10,10,4,10,4,1.3,0.01,False,6.11,528.43,7.66,69,68.12,13.44,-4.7
4,4,4,10,10,4,10,10,1,0.01,False,7.75,474.81,9.13,52,71.15,14.73,-4.69
4,4,4,10,10,4,10,10,1.1,0.01,False,7.75,474.81,9.13,52,71.15,14.73,-4.69
4,4,4,10,10,4,10,10,1.2,0.01,False,7.75,474.81,9.13,52,71.15,14.73,-4.69
4,4,4,10,10,4,10,10,1.3,0.01,False,7.75,474.81,9.13,52,71.15,14.73,-4.69
4,4,4,10,10,10,4,4,1,0.01,False,3.62,301.05,6.69,45,53.33,17.33,-5.47
4,4,4,10,10,10,4,4,1.1,0.01,False,3.62,301.05,6.69,45,53.33,17.33,-5.47
4,4,4,10,10,10,4,4,1.2,0.01,False,3.62,301.05,6.69,45,53.33,17.33,-5.47
4,4,4,10,10,10,4,4,1.3,0.01,False,3.62,301.05,6.69,45,53.33,17.33,-5.47
4,4,4,10,10,10,4,10,1,0.01,False,4.66,370.84,6.51,57,63.16,13.11,-4.82
4,4,4,10,10,10,4,10,1.1,0.01,False,4.66,370.84,6.51,57,63.16,13.11,-4.82
4,4,4,10,10,10,4,10,1.2,0.01,False,4.66,370.84,6.51,57,63.16,13.11,-4.82
4,4,4,10,10,10,4,10,1.3,0.01,False,4.66,370.84,6.51,57,63.16,13.11,-4.82
4,4,4,10,10,10,10,4,1,0.01,False,4.51,384.41,6.63,58,62.07,13.72,-4.98
4,4,4,10,10,10,10,4,1.1,0.01,False,4.51,384.41,6.63,58,62.07,13.72,-4.98
4,4,4,10,10,10,10,4,1.2,0.01,False,4.51,384.41,6.63,58,62.07,13.72,-4.98
4,4,4,10,10,10,10,4,1.3,0.01,False,4.51,384.41,6.63,58,62.07,13.72,-4.98
4,4,4,10,10,10,10,10,1,0.01,False,5.69,323.15,9.23,35,60.0,18.67,-4.92
4,4,4,10,10,10,10,10,1.1,0.01,False,5.69,323.15,9.23,35,60.0,18.67,-4.92
