high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%,Scale
4,4,4,4,14,14,4,14,1.3,0.01,False,3.48,520.41,8.26,63,60.32,19.22,-8.4,1.247
4,4,4,4,14,14,4,14,1.5,0.01,False,3.47,495.09,7.86,63,60.32,18.3,-8.01,1.179
4,4,4,4,14,14,4,14,2,0.01,False,3.47,452.79,7.19,63,60.32,16.73,-7.32,1.08
4,4,4,4,14,14,14,4,1.1,0.01,False,4.98,587.28,11.99,49,65.31,22.96,-8.68,1.341
4,4,4,4,14,14,14,4,1.3,0.01,False,4.96,552.96,11.28,49,65.31,21.64,-8.21,1.247
4,4,4,4,14,14,14,4,1.5,0.01,False,4.95,526.27,10.74,49,65.31,20.61,-7.83,1.179
4,4,4,4,14,14,14,4,2,0.01,False,4.96,481.26,9.82,49,65.31,18.84,-7.16,1.08
4,4,4,4,14,14,14,14,1.1,0.01,False,7.35,550.8,17.21,32,65.62,30.36,-7.88,1.341
4,4,4,4,14,14,14,14,1.3,0.01,False,7.41,521.91,16.31,32,65.62,28.73,-7.4,1.247
4,4,4,4,14,14,14,14,1.5,0.01,False,7.44,498.39,15.57,32,65.62,27.42,-7.03,1.179
4,4,4,4,14,14,14,14,2,0.01,False,7.43,455.34,14.23,32,65.62,25.05,-6.44,1.08
4,4,4,14,4,4,4,4,1.1,0.01,False,3.54,421.37,7.8,54,55.56,19.59,-6.92,1.593
4,4,4,14,4,4,4,4,1.3,0.01,False,3.54,394.91,7.31,54,55.56,18.35,-6.49,1.5
4,4,4,14,4,4,4,4,1.5,0.01,False,3.54,374.92,6.94,54,55.56,17.42,-6.16,1.427
